ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE,OVERDUE_STATUS,APPROVED
5008804,F,N,N,1,184700.0,Working,Secondary / secondary special,Single / not married,With parents,-19391,-12845,1,0,0,1,Managers,3,27,0,1
5008805,M,N,Y,0,178100.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-17360,-5645,1,0,0,1,Realty agents,2,45,0,0
5008806,F,Y,Y,0,125500.0,Working,Lower secondary,Married,House / apartment,-11539,-3557,1,0,0,0,Cooking staff,2,5,0,1
5008807,F,Y,Y,0,56400.0,Pensioner,Higher education,Married,House / apartment,-11951,-10214,1,0,1,1,IT staff,1,1,0,0
5008808,M,N,Y,0,63600.0,State servant,Higher education,Married,House / apartment,-11203,-7911,1,1,1,0,Private service staff,1,17,0,1
5008809,F,N,N,0,254100.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-11808,-8832,1,0,0,1,Drivers,1,7,0,1
5008810,F,N,N,1,27300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13077,-11947,1,0,1,1,Cleaning staff,2,46,0,0
5008811,F,N,Y,2,150500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20316,-14277,1,1,1,1,Cooking staff,4,6,0,0
5008812,M,N,Y,1,270700.0,Commercial associate,Lower secondary,Married,House / apartment,-12318,365243,1,0,1,0,,2,43,0,1
5008813,F,N,N,2,160900.0,Working,Higher education,Single / not married,House / apartment,-22054,-4619,1,1,0,0,Medicine staff,3,59,0,1
5008814,M,N,Y,0,244700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16182,-2278,1,0,0,1,Cleaning staff,2,17,0,1
5008815,F,N,Y,0,163600.0,Working,Academic degree,Married,House / apartment,-17491,-13533,1,0,1,0,Low-skill Laborers,2,18,0,0
5008816,F,N,N,0,206400.0,Working,Secondary / secondary special,Married,Municipal apartment,-22146,-9576,1,0,1,0,Managers,2,37,1,1
5008817,F,Y,Y,1,72400.0,Commercial associate,Higher education,Married,House / apartment,-7794,-7446,1,0,1,0,Private service staff,2,24,0,0
5008818,M,Y,Y,0,38800.0,Working,Incomplete higher,Civil marriage,With parents,-14371,-12580,1,0,0,1,High skill tech staff,2,58,0,1
5008819,M,Y,Y,0,211100.0,Commercial associate,Higher education,Single / not married,House / apartment,-13007,-469,1,0,0,0,Cooking staff,2,9,0,1
5008820,F,N,Y,0,206600.0,Working,Incomplete higher,Married,House / apartment,-20609,-14556,1,0,1,1,Sales staff,2,13,0,0
5008821,M,N,N,0,239900.0,Working,Higher education,Civil marriage,House / apartment,-22637,-10397,1,0,1,0,HR staff,2,26,1,1
5008822,F,Y,N,0,168800.0,Working,Secondary / secondary special,Separated,House / apartment,-23027,-4509,1,0,1,0,Realty agents,2,28,0,1
5008823,F,N,N,0,249800.0,Commercial associate,Higher education,Married,Rented apartment,-17732,-5508,1,1,0,1,HR staff,2,28,0,1
5008824,F,Y,Y,0,229500.0,Working,Higher education,Married,Municipal apartment,-12107,-11893,1,0,0,0,Medicine staff,2,42,0,1
5008825,M,Y,N,0,172000.0,Working,Secondary / secondary special,Married,House / apartment,-21088,-13098,1,0,0,0,Sales staff,2,4,0,1
5008826,F,N,N,0,217000.0,Working,Incomplete higher,Civil marriage,House / apartment,-16916,-2071,1,0,1,0,High skill tech staff,1,59,1,0
5008827,F,N,N,0,108900.0,Working,Higher education,Married,House / apartment,-15634,-5868,1,0,0,0,Cooking staff,1,52,0,1
5008828,F,Y,N,1,75600.0,Working,Secondary / secondary special,Separated,House / apartment,-14884,-7319,1,0,0,1,Sales staff,3,19,0,1
